7,17
0,5
8,18
11,14
10,27
25,34
2,32
44,47
33,56
14,15
10,63
2,59
25,61
2,68
66,71
13,74
1,72
36,57
9,49
47,75
21,32
9,76
6,52
21,50
31,72
2,45
2,54
3,19
16,56
35,69
28,39
9,44
28,66
9,71
48,53
50,72
40,58
21,54
10,17
2,13
2,22
39,71
25,33
10,44
12,63
3,5
4,77
14,23
43,68
16,60
16,69
5,41
6,15
47,65
50,58
69,71
29,35
5,77
10,12
8,79
31,62
39,75
73,77
24,32
23,76
24,41
13,41
1,66
9,34
17,47
49,79
5,54
6,19
5,63
50,71
27,69
21,35
6,46
19,65
23,62
43,49
35,45
17,24
46,60
65,73
68,69
17,42
7,77
58,61
50,66
30,69
0,74
23,39
20,52
23,48
20,61
16,18
22,79
37,77
16,54
46,55
9,24
28,37
17,37
68,73
15,67
6,9
27,50
58,65
8,46
27,68
0,51
8,64
30,64
27,77
31,38
31,56
24,26
32,39
4,57
72,75
13,35
4,66
16,31
37,63
3,70
17,23
15,53
9,28
15,62
68,77
5,39
49,73
6,13
19,32
27,45
8,41
19,41
0,37
30,50
8,59
20,24
19,59
30,68
20,33
30,77
31,42
4,25
12,38
52,74
33,70
12,47
44,79
13,30
4,61
45,71
37,67
5,7
38,59
26,66
49,68
27,40
18,71
8,36
0,32
30,45
8,45
8,54
12,15
4,11
12,24
60,73
44,65
12,42
13,16
45,48
34,57
22,55
3,51
45,66
67,72
26,52
19,31
8,49
41,55
2,63
10,76
44,78
53,56
64,65
26,29
14,73
38,40
7,34
59,72
70,72
0,4
26,65
27,30
11,22
29,58
48,71
8,35
6,74
11,40
44,46
2,58
25,60
34,38
25,78
34,56
3,50
56,65
3,59
3,68
14,77
26,42
15,42
36,74
18,47
17,79
7,56
8,21
11,17
48,66
71,77
41,45
25,37
4,14
33,59
44,59
10,75
3,36
3,63
26,28
55,64
18,24
0,12
19,25
6,55
11,30
21,62
25,32
44,45
44,54
10,61
22,26
14,22
10,70
22,35
66,69
14,31
3,40
36,55
47,55
18,28
29,34
8,11
28,78
0,7
9,74
0,16
29,52
21,57
29,70
40,70
10,29
6,77
2,34
10,47
3,8
51,57
25,54
22,30
24,67
3,44
35,76
36,59
28,73
6,36
40,47
54,67
54,76
51,52
2,47
13,53
66,68
66,77
28,32
36,45
17,41
61,65
5,75
29,42
6,58
2,6
39,64
2,24
20,60
10,37
62,75
20,78
32,43
12,74
3,16
32,52
4,79
14,25
32,70
24,66
43,79
13,75
46,72
36,58
50,69
6,44
8,72
10,23
54,57
62,70
12,51
2,28
32,38
13,43
24,43
16,39
1,50
35,61
1,77
28,40
46,76
9,36
50,55
42,51
69,77
42,60
27,71
61,73
19,76
23,46
20,68
24,29
4,60
43,51
13,47
16,43
1,63
16,61
68,71
5,33
57,71
15,74
49,76
27,48
7,79
18,79
58,72
8,53
50,68
27,66
8,62
19,62
50,77
30,71
20,36
42,73
12,32
2,9
11,76
23,41
20,63
4,55
13,33
34,65
13,42
16,38
1,49
1,58
9,17
5,28
17,30
5,37
15,69
38,71
30,48
0,44
11,53
30,66
0,62
60,76
20,58
53,55
23,63
1,26
53,64
56,60
45,69
22,67
5,14
9,12
18,60
49,75
19,34
18,78
8,43
8,61
20,26
30,61
12,22
41,67
75,78
23,49
34,46
53,59
16,19
1,30
45,64
14,67
37,78
38,52
38,61
18,73
30,38
27,51
42,49
19,56
20,21
52,62
31,39
4,22
12,35
45,50
22,57
45,68
37,64
45,77
46,51
59,79
26,54
18,50
7,59
11,20
48,69
63,67
40,74
4,17
33,53
44,53
44,62
44,71
2,74
14,39
45,54
3,57
14,57
7,18
15,31
67,78
70,74
26,49
48,55
11,15
18,63
19,28
0,24
19,37
21,56
71,75
11,33
29,78
21,74
4,21
41,70
1,6
14,34
14,43
3,43
14,52
7,22
7,31
7,40
18,40
0,1
48,50
8,23
11,19
48,68
40,64
48,77
21,60
21,69
33,43
25,39
2,46
25,48
14,20
2,64
3,29
51,78
13,70
3,47
3,56
